DEPT,AT90,GR,HCAL,NPHI,RHOZ,DTCO,DTSM
7413,17.436,98.66,8.877,0.062,2.606,58.869,104.076
7413.5,12.189,103.633,8.877,0.066,2.597,58.8,103.985
7414,11.072,104.534,8.862,0.054,2.594,58.733,103.696
7414.5,14.038,99.381,8.862,0.038,2.597,58.618,103.264
7415,20.02,92.418,8.896,0.023,2.592,58.455,103.044
7415.5,27.495,88.057,8.9,0.019,2.569,58.291,102.826
7416,33.919,85.439,8.892,0.019,2.539,58.15,102.126
7416.5,35.988,85.439,8.9,0.019,2.53,58.029,102.102
7417,33.867,84.65,8.922,0.021,2.527,57.911,101.968
7417.5,31.68,85.161,8.9,0.024,2.538,57.86,101.78
7418,28.868,86.361,8.896,0.032,2.541,57.896,101.576
