DEPT,AT90,GR,HCAL,NPHI,RHOZ,DTCO,DTSM
7246,1.437,95.164,9.043,0.148,2.533,68.326,117.944
7246.5,1.461,86.623,9.05,0.129,2.536,68.005,117.658
7247,1.408,82.81,9.088,0.11,2.554,67.882,117.184
7247.5,1.841,68.2,9.095,0.059,2.559,67.911,116.974
7248,3.352,50.158,9.054,0.011,2.513,67.779,116.866
7248.5,6.154,27.777,9.02,-0.009,2.385,67.81,117.491
7249,12.526,13.694,9.2,-0.015,2.228,67.791,118.526
7249.5,21.979,8.161,9.2,-0.016,2.101,67.45,118.995
7250,43.279,7.636,9.211,-0.016,2.039,67.39,119.465
7250.5,61.148,10.4,9.095,-0.015,2.047,67.322,120.137
7251,113.002,10.531,9.043,-0.013,2.089,67.425,120.322
7251.5,333.363,10.793,8.967,-0.012,2.135,66.963,120.691
7252,1938.919,9.742,8.952,-0.012,2.149,66.764,120.722
7252.5,1950,9.874,9.054,-0.012,2.152,66.255,120.261
7253,725.773,9.347,9.076,-0.009,2.141,65.731,119.704
7253.5,197.599,9.609,9.043,-0.003,2.205,65.015,118.962
7254,92.94,8.425,9.155,0.001,2.331,64.539,118.163
7254.5,56.418,10.926,9.009,0.006,2.469,64.04,115.725
7255,35.882,13.427,8.997,0.014,2.55,63.508,114.039
7255.5,17.704,24.877,8.997,0.021,2.567,62.266,112.703
7256,9.525,44.699,8.997,0.03,2.577,61.529,111.309
7256.5,8.777,65.45,9.02,0.027,2.554,61.016,108.414
7257,11.303,79.008,9.009,0.022,2.52,60.639,106.74
7257.5,16.58,77.41,9.028,0.013,2.486,59.906,105.555
7258,27.06,77.455,9.054,0.009,2.468,59.641,104.741
7258.5,45,77.192,9.031,0.007,2.458,59.45,103.398
7259,39.908,78.198,9.05,0.007,2.445,59.088,102.917
7259.5,34.902,75.96,8.997,0.006,2.447,58.888,102.649
7260,44.576,72.806,9.02,0.003,2.453,58.824,102.583
7260.5,76.529,66.748,9.009,0.002,2.462,58.92,102.259
7261,151.999,60.956,9.005,0.002,2.465,58.958,102.333
7261.5,199.69,55.029,9.005,0.002,2.454,58.748,102.142
7262,261.03,57.652,8.997,0.001,2.442,58.594,101.7
7262.5,268.155,57.398,9.028,0.001,2.424,58.41,101.089
7263,275.504,55.161,9.028,-0.001,2.418,58.277,100.645
7263.5,319.01,50.027,9.035,-0.003,2.415,58.168,100.514
7264,417.367,44.23,9.043,-0.005,2.409,58.157,100.546
7264.5,447.803,40.281,9.054,-0.005,2.405,58.048,100.316
7265,453.14,38.702,9.043,-0.004,2.405,58.1,100.485
7265.5,378.712,43.05,9.054,-0.003,2.403,58.016,100.628
7266,385.613,48.71,9.02,-0.002,2.409,58.122,100.497
7266.5,350.528,50.816,9.009,0,2.412,58.118,100.911
7267,185.965,55.94,9.043,0.003,2.428,58.124,101.255
7267.5,115.861,62.666,8.967,0.006,2.441,58.284,101.392
7268,92.231,75.302,8.967,0.007,2.453,58.241,101.624
7268.5,99.413,78.593,8.975,0.006,2.46,58.225,102.027
7269,138.047,78.843,8.982,0.006,2.464,58.44,102.479
7269.5,161.653,80.834,9.005,0.007,2.468,58.696,102.698
7270,127.241,83.73,8.99,0.009,2.474,58.709,102.783
7270.5,102.81,95.576,9.005,0.011,2.474,58.826,102.789
7271,84.249,97.27,8.997,0.009,2.476,58.804,102.558
7271.5,80.347,96.358,8.986,0.008,2.47,58.785,102.626
7272,86.052,89.935,8.986,0.004,2.465,58.605,102.397
7272.5,109.75,79.532,8.975,0.002,2.457,58.372,102.257
7273,103.547,72.822,8.986,0,2.446,58.517,102.322
7273.5,213.825,64.24,8.997,0,2.442,58.671,102.699
7274,78.914,61.085,8.975,0.001,2.443,59.055,103.27
7274.5,63.539,58.31,8.975,0.006,2.451,59.366,103.815
7275,34.301,63.325,8.997,0.014,2.465,59.877,104.36
7275.5,18.417,86.623,8.941,0.039,2.495,59.955,104.591
7276,12.82,111.5,8.93,0.064,2.53,60.003,105.302
7276.5,8.932,131.361,8.93,0.073,2.559,59.919,105.366
7277,8.832,129.672,8.937,0.059,2.569,59.788,105.651
7277.5,11.906,125.197,8.967,0.034,2.572,59.735,105.289
7278,17.632,111.508,8.986,0.02,2.567,59.334,104.659
7278.5,23.558,102.93,8.997,0.014,2.555,58.874,103.698
7279,35.744,94.103,8.986,0.013,2.536,57.67,103.019
7279.5,53.161,91.497,8.997,0.011,2.518,57.324,101.484
7280,71.648,87.9,8.99,0.011,2.506,57.062,100.823
7280.5,106.17,86.065,8.975,0.012,2.511,56.838,100.589
7281,162.37,84.459,8.945,0.011,2.52,56.611,100.024
7281.5,239.634,84.898,8.952,0.013,2.534,56.7,99.738
7282,309.337,86.756,8.952,0.012,2.54,56.729,99.742
7282.5,311.715,87.02,8.952,0.013,2.545,56.843,99.832
7283,247.148,84.782,8.952,0.012,2.547,56.884,99.816
7283.5,201.204,88.32,8.952,0.015,2.547,56.94,99.933
7284,144.379,90.706,8.967,0.018,2.548,57.101,100.06
7284.5,103.473,95.707,8.96,0.022,2.55,57.133,100.012
7285,73.898,92.022,8.952,0.025,2.552,57.083,100.652
7285.5,58.582,90.294,8.941,0.023,2.549,57.047,100.968
7286,49.452,88.072,8.96,0.02,2.553,57.023,101.691
7286.5,57.607,86.953,8.96,0.017,2.556,57.582,101.884
7287,43.711,84.715,8.93,0.018,2.558,58.257,103.163
7287.5,32.563,86.822,8.945,0.024,2.562,58.854,104.492
7288,14.168,99.986,8.93,0.042,2.577,60.014,105.088
7288.5,8.579,117.097,8.952,0.063,2.596,60.599,106.448
7289,5.673,135.376,8.941,0.09,2.599,60.374,108.285
7289.5,4.285,135.596,8.986,0.103,2.591,60.525,108.897
7290,4.497,132.568,9.009,0.106,2.587,61.496,109.59
7290.5,6.708,114.272,8.919,0.092,2.588,61.493,109.792
7291,7.812,107.011,8.997,0.072,2.584,61.052,110.258
7291.5,8.821,95.839,8.93,0.05,2.576,61.309,110.098
7292,10.662,94.259,8.919,0.034,2.559,61.177,110.329
7292.5,13.239,92.453,8.915,0.035,2.563,61.922,110.617
7293,10.35,99.956,8.922,0.049,2.559,62.13,110.819
7293.5,7.507,106.557,8.945,0.091,2.567,62.755,111.093
7294,5.832,115.207,8.937,0.125,2.567,62.679,111.144
7294.5,4.945,121.904,8.964,0.132,2.569,62.682,111.189
7295,5.399,125.438,9.009,0.096,2.567,62.99,111.24
7295.5,7.043,123.915,8.952,0.059,2.553,62.852,110.666
7296,8.911,114.307,8.952,0.039,2.552,62.594,109.664
7296.5,11.262,106.69,8.952,0.039,2.551,62.213,109.002
7297,11.529,103.211,8.93,0.042,2.549,61.5,108.721
7297.5,9.925,98.604,8.915,0.035,2.533,60.936,106.333
7298,11.525,97.665,8.896,0.023,2.521,60.229,105.35
7298.5,19.38,91.495,8.907,0.016,2.522,58.65,103.825
7299,33.137,87.152,8.907,0.014,2.525,58.444,103.374
7299.5,42.158,83.071,8.915,0.013,2.52,58.614,102.786
7300,61.703,75.158,8.907,0.011,2.5,58.558,102.803
7300.5,83.778,76.298,8.915,0.011,2.498,58.441,102.9
7301,73.115,75.575,8.919,0.012,2.503,58.535,103.197
7301.5,45.066,81.572,8.919,0.016,2.521,58.769,103.331
7302,34.621,80.576,8.907,0.02,2.532,59.121,103.895
7302.5,28.789,82.845,8.896,0.027,2.539,59.268,104.103
7303,25.648,83.459,8.907,0.026,2.538,59.371,104.422
7303.5,26.608,81.471,8.907,0.025,2.529,59.435,104.923
7304,29.169,77.833,8.907,0.023,2.522,59.478,104.676
7304.5,32.314,75.566,8.907,0.024,2.523,59.291,104.446
7305,34.497,82.016,8.952,0.023,2.523,59.099,104.208
7305.5,37.05,84.898,8.952,0.018,2.509,58.891,103.818
7306,51.498,87.019,8.941,0.014,2.491,58.509,104.041
7306.5,65.301,86.229,8.952,0.013,2.488,58.837,104.197
7307,71.716,87.809,8.941,0.013,2.508,59.329,105.502
7307.5,53.793,86.214,8.945,0.02,2.534,59.755,106.405
7308,32.29,87.152,8.93,0.038,2.551,60.437,107.299
7308.5,15.81,95.707,8.93,0.085,2.559,60.797,108.341
7309,8.776,110.317,8.922,0.123,2.565,61.044,109.239
7309.5,5.553,121.643,8.93,0.129,2.574,61.137,109.588
7310,6.854,118.747,8.922,0.093,2.58,61.265,109.827
7310.5,12.544,106.638,8.919,0.058,2.577,61.576,109.709
7311,20.085,89.636,8.907,0.038,2.559,61.597,109.581
7311.5,21.623,80.041,8.919,0.036,2.545,61.775,109.344
7312,18.695,78.857,8.919,0.044,2.546,61.555,109.212
7312.5,16.76,85.696,8.907,0.053,2.558,61.12,108.731
7313,12.451,92.544,8.93,0.07,2.566,60.981,108.702
7313.5,9.799,98.862,8.919,0.083,2.573,60.981,108.544
7314,8.993,99.526,8.907,0.093,2.581,61.09,108.382
7314.5,12.485,99.376,8.915,0.081,2.589,61.165,108.226
7315,16.341,93.469,8.907,0.067,2.592,61.169,107.822
7315.5,21.71,94.917,8.919,0.06,2.587,60.996,107.549
7316,23.709,97.944,8.915,0.069,2.587,60.864,107.009
7316.5,21.074,96.086,8.885,0.076,2.576,60.663,106.321
7317,22.029,101.503,8.896,0.069,2.57,60.434,106.023
7317.5,35.25,97.291,8.885,0.05,2.55,60.145,105.863
7318,45.973,98.607,8.874,0.034,2.541,59.987,105.018
7318.5,41.669,87.662,8.907,0.026,2.529,59.817,104.932
7319,37.007,81.489,8.896,0.03,2.524,59.704,104.889
7319.5,35.111,80.962,8.919,0.029,2.525,59.615,104.928
7320,39.56,77.672,8.885,0.032,2.531,59.62,105.104
