DEPT,AT10,AT90,GR,HCAL,NPHI,NPOR,RHOZ,DTCO,DTSM,DTST,PR
7131,1.379,1.158,93.668,8.874,0.168,0.144,2.512,73.523,129.341,266.794,0.261
7131.5,1.352,1.196,93.52,8.874,0.169,0.161,2.509,73.687,129.663,266.799,0.261
7132,1.37,1.193,97.337,8.885,0.17,0.15,2.503,73.431,129.469,266.77,0.263
7132.5,1.408,1.261,103.608,8.885,0.16,0.156,2.498,73.591,129.716,266.745,0.263
7133,1.459,1.365,107.425,8.862,0.151,0.154,2.509,73.352,129.624,266.666,0.264
7133.5,1.522,1.453,108.873,8.84,0.153,0.14,2.519,72.715,129.338,266.564,0.269
7134,1.561,1.464,108.327,8.862,0.154,0.149,2.532,72.596,129.389,266.482,0.27
7134.5,1.554,1.447,108.02,8.84,0.159,0.169,2.535,72.449,129.301,266.36,0.271
7135,1.531,1.383,103.94,8.874,0.155,0.144,2.533,72.256,128.98,266.314,0.271
7135.5,1.495,1.349,101.325,8.828,0.152,0.143,2.52,72.192,128.882,266.31,0.271
7136,1.43,1.292,101.237,8.828,0.151,0.15,2.511,72.138,128.497,266.195,0.27
7136.5,1.394,1.24,100.707,8.828,0.158,0.147,2.501,72.055,129.248,266.145,0.275
7137,1.41,1.279,97.662,8.847,0.166,0.165,2.5,72.111,128.75,266.139,0.271
7137.5,1.463,1.316,93.45,8.806,0.177,0.177,2.507,71.975,128.956,266.143,0.274
7138,1.534,1.362,85.438,8.828,0.171,0.16,2.517,72.006,129.168,266.103,0.275
7138.5,1.583,1.41,88.333,8.862,0.169,0.14,2.531,72.106,129.265,266.058,0.274
7139,1.547,1.419,92.35,8.922,0.158,0.147,2.538,72.156,129.15,265.993,0.273
7139.5,1.53,1.414,108.131,8.93,0.171,0.151,2.545,71.974,128.644,265.916,0.272
7140,1.62,1.508,113.002,8.874,0.164,0.173,2.549,71.483,128.728,265.824,0.277
7140.5,1.733,1.652,109.643,8.874,0.149,0.156,2.549,71.546,129.015,265.783,0.278
7141,1.735,1.668,102.685,8.99,0.121,0.095,2.546,71.526,128.45,265.821,0.275
7141.5,1.687,1.65,102.027,8.975,0.122,0.108,2.55,71.483,128.869,265.736,0.278
7142,1.687,1.633,113.041,8.99,0.136,0.14,2.558,71.458,128.387,265.798,0.276
7142.5,1.691,1.647,119.341,8.975,0.143,0.16,2.567,71.48,128.731,265.77,0.277
7143,1.679,1.67,112.365,8.919,0.137,0.142,2.558,71.651,128.489,265.887,0.274
7143.5,1.69,1.704,104.51,8.896,0.146,0.146,2.553,71.837,128.013,266,0.27
7144,1.686,1.699,99.659,8.87,0.151,0.145,2.548,71.924,129.127,266.1,0.275
7144.5,1.602,1.577,102.581,8.783,0.164,0.142,2.545,71.95,129.048,266.112,0.274
7145,1.513,1.483,101.66,8.828,0.161,0.149,2.532,72.264,128.858,266.071,0.271
7145.5,1.479,1.455,102.826,8.806,0.167,0.165,2.533,72.264,129.098,266.055,0.272
7146,1.566,1.5,103.588,8.772,0.168,0.159,2.539,72.403,129.273,266.015,0.271
7146.5,1.676,1.529,107.162,8.847,0.164,0.147,2.545,72.382,129.572,266.138,0.273
